Price,Close,High,Low,Open,Volume
Ticker,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS
Date,,,,,
2021-03-26,79.0047607421875,80.2392089331268,77.34596822640347,79.46767807800057,26637085
2021-03-30,79.85344696044922,82.01373580279356,79.15906798353043,80.27779130365336,31843017
2021-03-31,78.81188201904297,80.39351682034977,78.6189992954948,79.31337827753092,19587582
2021-04-01,80.50924682617188,81.20362580126009,78.04035034398439,79.46768130669633,22299747
2021-04-05,79.81485748291016,80.62496716299647,76.6901613303903,78.81187099257441,24878516
2021-04-06,80.20063018798828,80.54782260524169,78.15607812707586,79.19764360620947,15156974
2021-04-07,80.74071502685547,81.28078433687563,79.81487435584575,80.16206681484213,10330347
2021-04-08,79.93058776855469,81.55080123208573,79.69913206594325,80.08489745660837,26105970
2021-04-09,80.08492279052734,80.93360574119893,79.46769561568551,79.46769561568551,17645822
2021-04-12,75.64860534667969,78.88903269707063,75.18568210835512,77.80888828483582,27005598
2021-04-13,78.73473358154297,79.08192014472598,75.64860986857806,75.64860986857806,25505623
2021-04-15,81.087890625,82.36091769639901,80.08490405837745,80.43209058407118,28659714
2021-04-16,82.78527069091797,83.20960916830968,80.39352011194318,80.70213365951868,21627285
2021-04-19,79.50626373291016,81.74369869389616,78.61900199683961,80.20063685249131,19166492
2021-04-20,79.35195922851562,81.01075199423178,78.85046291985994,79.69915169742227,23082015
2021-04-22,79.54483032226562,80.58639580382317,78.42611293213221,79.00476107592121,14844968
2021-04-23,79.0047607421875,79.96917431109527,78.38753370356122,78.69614722287436,12790334
2021-04-26,79.3133773803711,81.55081223917,79.08191576020606,81.20362569523597,11797791
2021-04-27,79.62199401855469,80.23922115116625,79.31338633856308,79.31338633856308,8886250
2021-04-28,80.16206359863281,80.54782905783094,79.69914622485783,80.04633278361062,6887787
2021-04-29,80.27779388427734,81.70512489663537,79.89202842762307,80.93359398332684,14990087
2021-04-30,83.44107055664062,86.95153272689736,79.69914675480045,80.35494686253512,81358264
2021-05-03,83.0938720703125,85.40846467267568,81.7822719501654,83.44106449245501,33975507
2021-05-04,84.59835052490234,85.09984670513765,83.09386198419638,83.32532357086274,30811922
2021-05-05,85.71708679199219,87.95452770922654,85.25416940236431,86.72007937478088,47588366
2021-05-06,85.06128692626953,87.06726621166706,84.4440598140023,86.64292772250808,26083818
2021-05-07,85.98712158203125,86.68150061073327,84.59836941094119,85.52420419166789,28016564
2021-05-10,87.87738037109375,88.68748437357667,86.79723581480224,87.83880146731701,33477142
2021-05-11,91.1177978515625,91.58071521297289,85.44704693007954,86.83580490062434,48355326
2021-05-12,88.80320739746094,93.47097180130945,87.72306293605733,91.58071752227468,49718697
2021-05-14,87.14442443847656,89.49759635226447,86.06428574327663,89.49759635226447,23626454
2021-05-17,88.14740753173828,89.03466926621327,86.60434569310829,87.91594590141827,19960145
2021-05-18,89.57474517822266,90.65488972239058,88.18599295256179,88.72606228148865,29395737
2021-05-19,88.6489028930664,89.34328189055736,87.49160652601935,88.34028935125778,25295575
2021-05-20,86.25715637207031,88.49459125739224,85.79423312625265,87.53017763912811,21131045
2021-05-21,86.99011993408203,87.99311258496527,85.67851959337106,85.67851959337106,20562816
2021-05-24,87.22156524658203,87.91593830491621,85.52419383896456,87.37586906258667,24785960
2021-05-25,88.4174575805664,90.34628521489951,87.72307845494353,88.26315372434568,25820379
2021-05-26,87.4530258178711,89.03466650799444,87.18299118173904,89.03466650799444,12045621
2021-05-27,86.29572296142578,87.68448082287674,85.87138453276415,87.18298460144649,22821449
2021-05-28,86.6814956665039,89.15039808480792,86.2957302154858,87.33729575597194,19331994
